"sample_id"	"TP53"	"TTN"	"FAT1"
TCGA-BA-7269-01A-11D	1	1	1
TCGA-CN-5370-01A-01D	1	1	1
TCGA-CN-6024-01A-11D	1	1	1
TCGA-CR-7379-01A-11D	1	1	1
TCGA-CR-7386-01A-11D	1	1	1
TCGA-CV-6942-01A-21D	1	1	1
TCGA-CV-6956-01A-21D	1	1	1
TCGA-CV-7091-01A-11D	1	1	1
TCGA-CV-7095-01A-21D	1	1	1
TCGA-CV-7414-01A-11D	1	1	1
TCGA-CV-A45Q-01A-11D	1	1	1
TCGA-CV-A6JZ-01A-11D	1	1	1
TCGA-CV-A6K2-01A-11D	1	1	1
TCGA-BB-A5HU-01A-11D	1	1	0
TCGA-CN-4729-01A-01D	1	1	0
TCGA-CN-4736-01A-01D	1	1	0
TCGA-CN-4737-01A-01D	1	1	0
TCGA-CN-4740-01A-01D	1	1	0
TCGA-CN-4742-01A-02D	1	1	0
TCGA-CN-5367-01A-01D	1	1	0
TCGA-CN-6019-01A-11D	1	1	0
TCGA-CN-6020-01A-11D	1	1	0
TCGA-CQ-6220-01A-11D	1	1	0
TCGA-CQ-6224-01A-11D	1	1	0
TCGA-CQ-6225-01A-11D	1	1	0
TCGA-CQ-7065-01A-11D	1	1	0
TCGA-CR-6484-01A-11D	1	1	0
TCGA-CR-7365-01A-11D	1	1	0
TCGA-CR-7368-01A-11D	1	1	0
TCGA-CR-7376-01A-11D	1	1	0
TCGA-CR-7380-01A-11D	1	1	0
TCGA-CV-5970-01A-11D	1	1	0
TCGA-CV-5977-01A-11D	1	1	0
TCGA-CV-6934-01A-11D	1	1	0
TCGA-CV-6937-01A-11D	1	1	0
TCGA-CV-6940-01A-11D	1	1	0
TCGA-CV-7178-01A-21D	1	1	0
TCGA-CV-7236-01A-11D	1	1	0
TCGA-CV-7238-01A-11D	1	1	0
TCGA-CV-7254-01A-11D	1	1	0
TCGA-CV-7255-01A-11D	1	1	0
TCGA-CV-7423-01A-11D	1	1	0
TCGA-CV-7432-01A-11D	1	1	0
TCGA-CV-7446-01A-11D	1	1	0
TCGA-CV-7568-01A-11D	1	1	0
TCGA-CV-A6JT-01A-11D	1	1	0
TCGA-D6-6823-01A-11D	1	1	0
TCGA-D6-A6EM-01A-21D	1	1	0
TCGA-DQ-5630-01A-01D	1	1	0
TCGA-F7-A624-01A-22D	1	1	0
TCGA-HD-A6HZ-01A-12D	1	1	0
TCGA-IQ-A61H-01A-11D	1	1	0
TCGA-IQ-A6SH-01A-12D	1	1	0
TCGA-P3-A6T3-01A-11D	1	1	0
TCGA-RS-A6TO-01A-32D	1	1	0
TCGA-T2-A6WZ-01A-21D	1	1	0
TCGA-UF-A7JA-01A-12D	1	1	0
TCGA-UF-A7JD-01A-11D	1	1	0
TCGA-4P-AA8J-01A-11D	1	0	1
TCGA-BA-4075-01A-01D	1	0	1
TCGA-CN-4731-01A-01D	1	0	1
TCGA-CN-6018-01A-11D	1	0	1
