transcript_id,gene_symbol,gene_id,protein_id,protein_length,refseq_id,uniprot_id
ENST00000269305,TP53,ENSG00000141510,ENSP00000269305,393,NM_000546,P04637
ENST00000277541,NOTCH1,ENSG00000148400,ENSP00000277541,2555,NM_017617,P46531
ENST00000309486,BRCA1,ENSG00000012048,ENSP00000310938,1567,NM_007297,
ENST00000346315,BRCA1,ENSG00000012048,ENSP00000246907,1624,,
ENST00000351666,BRCA1,ENSG00000012048,ENSP00000338007,680,,
ENST00000352993,BRCA1,ENSG00000012048,ENSP00000312236,721,,P38398-5
ENST00000354071,BRCA1,ENSG00000012048,ENSP00000326002,1598,,
ENST00000357654,BRCA1,ENSG00000012048,ENSP00000350283,1863,NM_007294,P38398
ENST00000359597,TP53,ENSG00000141510,ENSP00000352610,343,,
ENST00000380152,BRCA2,ENSG00000139618,ENSP00000369497,3418,NM_000059,P51587
ENST00000412061,BRCA1,ENSG00000012048,ENSP00000397145,437,,
ENST00000413465,TP53,ENSG00000141510,ENSP00000410739,285,,
ENST00000420246,TP53,ENSG00000141510,ENSP00000391127,341,NM_001276696,P04637-2
ENST00000441802,FAT1,ENSG00000083857,ENSP00000406229,4588,NM_005245,Q14517
ENST00000445888,TP53,ENSG00000141510,ENSP00000391478,393,,P04637
ENST00000455263,TP53,ENSG00000141510,ENSP00000398846,346,NM_001276695,P04637-3
ENST00000461221,BRCA1,ENSG00000012048,ENSP00000418548,63,,P38398-2
ENST00000461574,BRCA1,ENSG00000012048,ENSP00000417241,242,,
ENST00000461798,BRCA1,ENSG00000012048,ENSP00000417988,63,,P38398-2
ENST00000467274,BRCA1,ENSG00000012048,,,,
ENST00000468300,BRCA1,ENSG00000012048,ENSP00000417148,699,NM_007299,P38398-6
ENST00000470026,BRCA1,ENSG00000012048,ENSP00000419274,649,,
ENST00000470094,BRCA2,ENSG00000139618,ENSP00000434898,186,,
ENST00000471181,BRCA1,ENSG00000012048,ENSP00000418960,1884,NM_007300,P38398-7
ENST00000472490,BRCA1,ENSG00000012048,,,,
ENST00000473961,BRCA1,ENSG00000012048,ENSP00000420201,319,,
ENST00000476777,BRCA1,ENSG00000012048,ENSP00000417554,222,,
ENST00000477152,BRCA1,ENSG00000012048,ENSP00000419988,622,,
ENST00000478531,BRCA1,ENSG00000012048,ENSP00000420412,623,,
ENST00000484087,BRCA1,ENSG00000012048,ENSP00000419481,498,,
ENST00000487825,BRCA1,ENSG00000012048,ENSP00000418212,266,,
ENST00000489037,BRCA1,ENSG00000012048,ENSP00000420781,98,,
ENST00000491649,NOTCH1,ENSG00000148400,,,,
ENST00000491747,BRCA1,ENSG00000012048,ENSP00000420705,759,NM_007298,P38398-3
ENST00000492859,BRCA1,ENSG00000012048,ENSP00000420253,59,,
ENST00000493795,BRCA1,ENSG00000012048,ENSP00000418775,1816,,P38398-8
ENST00000493919,BRCA1,ENSG00000012048,ENSP00000418819,572,,
ENST00000494123,BRCA1,ENSG00000012048,ENSP00000419103,473,,
ENST00000494783,NOTCH1,ENSG00000148400,,,,
ENST00000497488,BRCA1,ENSG00000012048,ENSP00000418986,177,,
ENST00000500085,FAT1,ENSG00000083857,,,,
ENST00000503253,FAT1,ENSG00000083857,,,,
ENST00000503591,TP53,ENSG00000141510,ENSP00000426252,127,,
ENST00000504290,TP53,ENSG00000141510,,,,
ENST00000504937,TP53,ENSG00000141510,,,,
ENST00000505014,TP53,ENSG00000141510,,,,
ENST00000507105,FAT1,ENSG00000083857,ENSP00000423801,285,,
ENST00000507662,FAT1,ENSG00000083857,,,,
ENST00000508035,FAT1,ENSG00000083857,,,,
ENST00000508793,TP53,ENSG00000141510,ENSP00000424104,165,,
ENST00000509537,FAT1,ENSG00000083857,ENSP00000421003,52,,
ENST00000509647,FAT1,ENSG00000083857,ENSP00000423736,488,,
ENST00000509690,TP53,ENSG00000141510,ENSP00000425104,199,,
ENST00000509927,FAT1,ENSG00000083857,ENSP00000420869,119,,
ENST00000510385,TP53,ENSG00000141510,,,,
ENST00000512347,FAT1,ENSG00000083857,,,,
ENST00000512772,FAT1,ENSG00000083857,ENSP00000424157,368,,
ENST00000514944,TP53,ENSG00000141510,ENSP00000423862,155,,
ENST00000528762,BRCA2,ENSG00000139618,ENSP00000433168,64,,
ENST00000530893,BRCA2,ENSG00000139618,ENSP00000435699,481,,
ENST00000533776,BRCA2,ENSG00000139618,,,,
ENST00000544455,BRCA2,ENSG00000139618,ENSP00000439902,3418,NM_000059,P51587
ENST00000574684,TP53,ENSG00000141510,,,,
ENST00000576024,TP53,ENSG00000141510,ENSP00000458393,31,,
ENST00000586385,BRCA1,ENSG00000012048,ENSP00000465818,173,,
ENST00000591534,BRCA1,ENSG00000012048,ENSP00000467329,354,,
ENST00000591849,BRCA1,ENSG00000012048,ENSP00000465347,96,,
ENST00000604348,TP53,ENSG00000141510,ENSP00000473895,143,,
