transcript_id,pfam_id,start,end,domain_name
ENST00000269305,PF07710,318,358,PF07710
ENST00000269305,PF08563,6,29,PF08563
ENST00000269305,PF00870,95,288,PF00870
ENST00000277541,PF11936,2479,2541,PF11936
ENST00000277541,PF00008,987,1016,PF00008
ENST00000277541,PF00008,795,824,PF00008
ENST00000277541,PF00008,949,979,PF00008
ENST00000277541,PF00008,222,253,PF00008
ENST00000277541,PF00008,1116,1140,PF00008
ENST00000277541,PF00008,532,561,PF00008
ENST00000277541,PF00008,1237,1263,PF00008
ENST00000277541,PF00008,261,290,PF00008
ENST00000277541,PF00008,1025,1055,PF00008
ENST00000277541,PF00008,757,787,PF00008
ENST00000277541,PF00008,720,747,PF00008
ENST00000277541,PF00008,645,672,PF00008
ENST00000277541,PF00008,494,523,PF00008
ENST00000277541,PF00008,144,174,PF00008
ENST00000277541,PF00008,682,711,PF00008
ENST00000277541,PF00008,607,637,PF00008
ENST00000277541,PF00008,1187,1215,PF00008
ENST00000277541,PF00008,106,136,PF00008
ENST00000277541,PF00008,1063,1092,PF00008
ENST00000277541,PF00008,63,96,PF00008
ENST00000277541,PF00008,911,939,PF00008
ENST00000277541,PF00008,570,599,PF00008
ENST00000277541,PF00008,1149,1177,PF00008
ENST00000277541,PF12661,398,409,PF12661
ENST00000277541,PF07645,295,329,PF07645
ENST00000277541,PF07645,452,485,PF07645
ENST00000277541,PF07645,412,445,PF07645
ENST00000277541,PF07645,178,213,PF07645
ENST00000277541,PF07645,869,902,PF07645
ENST00000277541,PF07684,1671,1731,PF07684
ENST00000277541,PF00066,1446,1480,PF00066
ENST00000277541,PF00066,1525,1561,PF00066
ENST00000277541,PF00066,1486,1522,PF00066
ENST00000277541,PF12796,1914,1985,PF12796
ENST00000277541,PF12796,1999,2090,PF12796
ENST00000277541,PF06816,1566,1621,PF06816
ENST00000309486,PF00533,1366,1427,PF00533
ENST00000309486,PF00533,1461,1546,PF00533
ENST00000309486,PF04873,352,682,PF04873
ENST00000309486,PF12820,48,211,PF12820
ENST00000346315,PF04873,648,978,PF04873
ENST00000346315,PF12820,344,507,PF12820
ENST00000346315,PF00097,24,64,PF00097
ENST00000346315,PF00533,1518,1603,PF00533
ENST00000351666,PF00533,574,659,PF00533
ENST00000351666,PF00533,478,540,PF00533
ENST00000351666,PF00097,24,64,PF00097
ENST00000352993,PF00097,24,64,PF00097
ENST00000352993,PF00533,615,700,PF00533
ENST00000352993,PF00533,519,581,PF00533
ENST00000354071,PF04873,648,978,PF04873
ENST00000354071,PF00097,24,64,PF00097
ENST00000354071,PF12820,344,507,PF12820
ENST00000354071,PF00533,1492,1577,PF00533
ENST00000357654,PF04873,648,978,PF04873
ENST00000357654,PF00533,1757,1842,PF00533
ENST00000357654,PF00533,1662,1723,PF00533
ENST00000357654,PF12820,344,507,PF12820
ENST00000357654,PF00097,24,64,PF00097
ENST00000359597,PF08563,6,29,PF08563
ENST00000359597,PF00870,95,288,PF00870
ENST00000380152,PF09121,2831,2872,PF09121
ENST00000380152,PF09169,2479,2667,PF09169
ENST00000380152,PF09103,2670,2799,PF09103
ENST00000380152,PF09104,3052,3190,PF09104
ENST00000380152,PF00634,2051,2084,PF00634
ENST00000380152,PF00634,1517,1550,PF00634
ENST00000380152,PF00634,1002,1036,PF00634
ENST00000380152,PF00634,1972,2005,PF00634
ENST00000380152,PF00634,1212,1246,PF00634
ENST00000380152,PF00634,1664,1696,PF00634
ENST00000380152,PF00634,1837,1869,PF00634
ENST00000380152,PF00634,1421,1454,PF00634
ENST00000412061,PF12820,128,291,PF12820
ENST00000413465,PF08563,6,29,PF08563
ENST00000413465,PF00870,95,260,PF00870
ENST00000420246,PF00870,95,288,PF00870
ENST00000420246,PF08563,6,29,PF08563
ENST00000441802,PF07645,4127,4158,PF07645
ENST00000441802,PF00028,1895,1969,PF00028
ENST00000441802,PF00028,827,917,PF00028
ENST00000441802,PF00028,3445,3535,PF00028
ENST00000441802,PF00028,1672,1755,PF00028
ENST00000441802,PF00028,2814,2909,PF00028
ENST00000441802,PF00028,3130,3221,PF00028
ENST00000441802,PF00028,1790,1867,PF00028
ENST00000441802,PF00028,2601,2694,PF00028
ENST00000441802,PF00028,1266,1344,PF00028
ENST00000441802,PF00028,1984,2071,PF00028
ENST00000441802,PF00028,2093,2174,PF00028
ENST00000441802,PF00028,2288,2381,PF00028
ENST00000441802,PF00028,2923,3013,PF00028
ENST00000441802,PF00028,3236,3326,PF00028
ENST00000441802,PF00028,724,809,PF00028
ENST00000441802,PF00028,1147,1236,PF00028
ENST00000441802,PF00028,3340,3430,PF00028
ENST00000441802,PF00028,1567,1658,PF00028
ENST00000441802,PF00028,3031,3112,PF00028
ENST00000441802,PF00028,2395,2482,PF00028
ENST00000441802,PF00028,2708,2799,PF00028
ENST00000441802,PF00028,1387,1440,PF00028
ENST00000441802,PF00028,154,247,PF00028
ENST00000441802,PF00028,468,558,PF00028
ENST00000441802,PF00028,2497,2585,PF00028
ENST00000441802,PF00028,2187,2265,PF00028
ENST00000441802,PF00028,932,1022,PF00028
ENST00000441802,PF00028,1041,1130,PF00028
ENST00000441802,PF00028,1461,1552,PF00028
ENST00000441802,PF02210,3859,3985,PF02210
ENST00000441802,PF00008,4093,4123,PF00008
ENST00000441802,PF00008,4017,4046,PF00008
ENST00000445888,PF08563,6,29,PF08563
ENST00000445888,PF07710,318,358,PF07710
ENST00000445888,PF00870,95,288,PF00870
ENST00000455263,PF08563,6,29,PF08563
ENST00000455263,PF00870,95,288,PF00870
ENST00000461221,PF00097,24,63,PF00097
ENST00000461798,PF00097,24,63,PF00097
ENST00000468300,PF00097,24,64,PF00097
ENST00000468300,PF00533,557,619,PF00533
ENST00000470026,PF12820,344,507,PF12820
ENST00000470026,PF00097,24,64,PF00097
ENST00000470094,PF09104,38,153,PF09104
ENST00000471181,PF00097,24,64,PF00097
ENST00000471181,PF12820,344,507,PF12820
ENST00000471181,PF00533,1778,1863,PF00533
ENST00000471181,PF00533,1683,1744,PF00533
ENST00000471181,PF04873,648,978,PF04873
ENST00000473961,PF12820,210,319,PF12820
ENST00000476777,PF00097,24,64,PF00097
